cid,text,author,votes,heart,paid
Ugx4r3y_Lahm3j8gTat4AaABAg,"Arowana യുടെ വില കൊറവാണ് പൊളി ",Athul Nandhu,1,True,None
Ugwwts4FhG7DqtWdTCN4AaABAg,"വിശ്വാസിച്ചു. സൂപ്പർ",Hakkim Pets World,4,True,None
UgzDTjKktn9EWSssOYp4AaABAg,"ഒന്നും പറയാനില്ല എന്റെ മച്ചാനെവിഷയം",SHEJIN BOSS,2,True,None
Ugz9UzmXLI54ITOqAht4AaABAg,"(7:55)ഉണ്ട് 𝖇𝖗𝖔 നമ്മുടെ കണ്ണൂർ ഉണ്ട്. ചാലാട് 𝚊𝚣𝚒 𝚙𝚎𝚝𝚜.. അവിടെ വർഷങ്ങളായി ഷോപ്പിന്റെ ഉള്ളിൽ ഒരു വശത്തായി pond സെറ്റാക്കിട്ട് But 𝚌𝚊𝚛𝚙 𝚏𝚒𝚜𝚑 ആണു അതിൽ ",Arjun by kl 13 vlogger,1,True,None
UgwQDtfeyCq7BamPoWR4AaABAg,"ചേട്ടാ അടിപൊളിനാല്ലാരും സൂപ്പർ വീഡിയോ ആയിട്ടാണല്ലോ വരവ് എന്തായാലും അടിപൊളി.",Hakkim Pets World,3,True,None
Ugyh916NwTIQ0znW7xx4AaABAg,"എനിക്ക് ഈ വീഡിയോ ഒത്തിരി ഇഷ്ടമായി super",Abhinav Dinoj,1,True,None
Ugxg2xJ-nw35ubxdNrR4AaABAg,"ചേട്ടൻ എപ്പോളെഗിൽആണ് വീടിയോ ഇടുക പക്ഷേ കാത്തിരിപ്പിനുഷേശം വരുന്ന വീടിയോഅത് ഒരു പറയാൻ പറ്റാത്ത ഒരു എന്തപയ ഞാൻഎൻ്റെ കാര്യം ആണ് പറഞത്",Riyas kb Riyas,2,True,None
UgzTyIB1oKp-wcXb-BV4AaABAg,"water നല്ല clear ആണല്ലോ.. അതിന്റ രഹസ്യം കൂടെ വെളിപ്പെടുത്തായിരുന്നു ",PES ALLIGATORS,2,True,None
Ugzhd2JFkCAPzoZCQ1V4AaABAg.9bHjOc_6pCA9bJaER3ItcM,"അറ്റാക്കിംങ് ആയിട്ട് തോന്നിയില്ല സാധാരണ മീനേ പിടിക്കാൻ പോകുമ്പോൾ അത് ഓടി പോവാൻ നോക്കും അങ്ങനെയാ തോന്നിയത് .",SREENATH 99,3,True,None
UgwaJ527Og0syNgVoqZ4AaABAg,"ഇത്രയും വലിയ കളർ ഫിഷ് ഉണ്ടോ",sameer ck,1,True,None
UgzJyuocnZAjGZQV5od4AaABAg,"പൊളിച്ചു....",VG waves,1,True,None
UgxzCw_iCrDTqdwyyw94AaABAg,"കൊറിയർ ഇണ്ടോ ബ്രോ",AMAL AUGUSTINE,1,True,None
UgyoZw5NQyjKJZxwsAl4AaABAg.9bK-8B939nI9bK48hkgQ5e," @ഒരു അഡാർ Pets Story  കേരത്തിൽ  കേരളത്തിൽ",തൊരപ്പൻ കൊച്ചുണ്ണി,0,False,None
UgwhIA1tlMvaHzvYP514AaABAg,"റേറ്റ് കൂടുതലാണ്  ബോസേ",PETS CORNER,1,True,None
UgzqkeW3wr8VdFdDZ6h4AaABAg,"എന്റെ പോന്നോ പൊളി",live feeding,1,True,None
UgwVZu1SvBMNl-nigW14AaABAg,"ഗപ്പി elle",кנ gαмιиg❤,2,True,None
UgwUf6PGGrt1z5HFY9d4AaABAg,"ക്യാമറാ പിടികാൻ അറിയാത പോട്ടൻ",Akhil raj,1,True,None
UgxmFtlZYnFT_0hyOr94AaABAg,"ഈ Shop തൃശൂർ ജില്ലയിൽ ഏത് സ്ഥലത്താണ്?? ഈ shop ന്റെ അടുത്തുള്ള Railway Station എവിടെയാ....",Razy leo,1,True,None
UgwvmOZoirxsAxANwxR4AaABAg,"അവരുടെ വായിൽ gold ഫിഷിനെ കണ്ടപ്പോൾ സങ്കടം തോന്നി ",MOVIE UPDATES BY SIDHARTH,12,True,None
UgwvmOZoirxsAxANwxR4AaABAg.9bBx4QsFPVm9bIOnhBXsFo,"എന്നാ വാ സുഹൃത്തേ നമുക്ക് കാട്ടിലെ മീനുകൾക്കു സാമ്പാറും ചോറും ഉണ്ടാക്കി കൊടുക്കാം",Rocky The German Shepherd,2,False,None
UgxHrKKmpdtngEv8DiF4AaABAg,"വൗ",Pets corner,1,False,None
UgwVGBvqjSq410Pl3954AaABAg,"ഇവർ എന്ത് ചെയ്തു മലത്തി ",SIVAKUMAR B L,4,True,None
UgwXc_bwagm3IThGVvB4AaABAg,"എന്താപോ ഇവർ പ്രത്യേകിച്ചു ചെയ്തത് ",Farisha Muzammil,1,True,None
Ugz98Ec96qYFAmJaA6h4AaABAg,"കറുത്ത എലി എന്റെ വീട്ടിൽ ഉണ്ട്. RS 99 വേണമെങ്കിൽ പറയുക.",INRI,42,True,None
UgxQ-OBJw0xe-vMbTcB4AaABAg,"ആവശ്യക്കാർ വിളിക്കുക9446746119",ഒരു അഡാർ Pets Story,10,False,None
UgzKZmFx-Ndw_aFL0D14AaABAg,"കൊല്ലലേട്ടോ plz ",𝑝𝑠𝑦𝑐𝒉𝑜 𝑘𝑖𝑐𝒉𝑢,2,True,None
Ugz98Ec96qYFAmJaA6h4AaABAg.9ab_OAn6YMy9attHmntrm9,"വെള്ള പെയിന്റിൽ മുക്കി 150 രൂപയ്ക്ക് വിൽകട 51 രൂപ ലാഭം ബിസിനസ് മൈൻഡ് ആയിട്ട് ചിന്തിക്ക് എപ്പോഴും ബുദ്ധി പറഞ്ഞ് തരാൻ എനിക്ക് വരാൻ പറ്റിയെന്ന് വരില്ല",Shuaib M S,10,False,None
Ugz98Ec96qYFAmJaA6h4AaABAg.9ab_OAn6YMy9bEY6FYE-hu,"ഒരു വെള്ള പെയിന്റിൽ മുക്കി വെള്ള എലി ആണ് എന്ന്‌ പറഞ്ഞു കൊടുത്തോ അപ്പൊ 150 കിട്ടും",Kiran Pj,0,False,None
UgxQ-OBJw0xe-vMbTcB4AaABAg.9asU7QhX_9K9atZuJUsZWD,"സ്ഥലം എവിടെ ആ ",Achu Arun,1,True,None
UgxRxj7WyQ0lOt7rIGJ4AaABAg,"ഞാനും ഇതിന്റെ വീഡിയോ ചെയ്തിട്ടുണ്ട്. എലികൾ വളർത്താൻ അടിപൊളിയാണ്.വീഡിയോ ചെയ്യണേ...",Hakkim Pets World,6,True,None
Ugyd1eUkcG85hM4G0Ol4AaABAg,"ഹെവി വീഡിയോ",Annrose Paul,2,True,None
Ugyi0KL9lyHhh5_lt8l4AaABAg,"ഇപ്പൊ കണ്ടു",Kulsu P P,2,True,None
UgxWXt4wFwHTkWVSoxJ4AaABAg,"എനിക്ക് ഒന്നിനെ venennu",Sayfuneesa P,1,True,None
UgxbkDnhozs7ciWK7jJ4AaABAg,"എനിക്ക് വേണമല്ലോ എവിടാ സ്ഥലം.. ഡെലിവറി ഉണ്ടോ... ഓക്കേ നമ്പർ ഉണ്ടോ... ഒന്ന് റീ പ്ലെ തരണം..",L4ammu,1,True,None
Ugx4TGCE6mPNSsCKImF4AaABAg,"ഈ ചേട്ടന്റെ വീട് എവിടെയാണ് ചേട്ടാ",ANIL AppUZz,1,True,None
Ugx2kDJP3D1DSUg5EpF4AaABAg,"ഇതിനെ തിന്നുമോ? നിങ്ങൾ",Audible Man,4,True,None
Ugwwc5Y83YS4a0aEUJR4AaABAg,"പൂച്ചകുട്ടികൾ അടിപൊളി ",SHINOS KV,69,True,None
UgyyTTbKQ5Mp8DSr5Kt4AaABAg,"അടിപൊളി  പൂച്ചകുട്ടികൾ ",Surabhi Surabhi,29,True,None
UgyaUnpyV6GZ9wWTvgJ4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,0,False,None
UgzHE8sh4e9lgj5PkwZ4AaABAg," ഈ വീഡിയോയുടെ ഫുൾ വീഡിയോ ലിങ്ക് ആണ് ഇത്",ഒരു അഡാർ Pets Story,13,False,None
UgxS-bPDiY0YufmIqdd4AaABAg,"എന്റെ പിള്ളേരെ വെച്ച് വീഡിയോ എടുത്ത് ആളാകൻ നോക്കുന്നു.... അമ്പടാ. ഇപ്പോൾ കാണിച്ചു തരാം ",anupama pv,472,True,None
UgyWjibGij-nvs_r-t94AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,0,False,None
Ugw9OwPrROGZGhT96rd4AaABAg,"പക്ഷികളെ ജീവനാണ് ",shan johny,5,True,None
UgznzlyCEVctNB0ypLN4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,6,False,None
Ugy10sstxlVfu_JvLt54AaABAg,"അഞ്ഞൂറോളം കിളികളുടെ ആറാട്ട് കണ്ടിട്ടുണ്ടോദേ ഈ ലിങ്കിൽ ഉണ്ട് ആ വീഡിയോ ",ഒരു അഡാർ Pets Story,2,False,None
Ugw6lHzssAdjnhQzGit4AaABAg,"ക്യാപ്ഷൻ തള്ള് ഉളുപ്പ് ഉണ്ടല്ലോ ഇങ്ങനെ ആളെ പറ്റിച്ചു പൈസാ ഉണ്ടാക്കാൻ ഊള",Fazz Fahad,32,True,None
UgwldrgZn3kVT5SnaSp4AaABAg,"അഞ്ഞൂറോളം അലങ്കാര കിളികളുടെ ആറാട്ട് കണ്ടിട്ടുണ്ടോദേ ഈ ലിങ്കിൽ ഉണ്ട് ആ വീഡിയോ ",ഒരു അഡാർ Pets Story,3,False,None
UgwqSzqMWaFMFVFIaeV4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,21,False,None
UgxJycMPtuEgXxsrwXZ4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,0,False,None
Ugz5lxD12i5pAkePW694AaABAg,"ഇത് കടിക്കോ ?",VIJAY SANKAR,5,True,None
UgxzyreFuP8QfbxIkyx4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,0,False,None
Ugwr508L1Vm4xCciep14AaABAg,"ഇത്തരം  വനജീവികളെ വീട്ടിൽ  വളർത്തുന്നവരോട് പറയാനുള്ളത്. പല യുട്യൂബ് ചാനലുകാരും  വരും  ഇവറ്റകളുടെ സ്നേഹം മറ്റുള്ളവരിലേക്ക്  കാണിച്ചു കൊടുക്കാൻ വേണ്ടി.  അവരുടെ ലക്ഷ്യം  വരുമാനമാണ്.   നാട്ടുകാർ അറിയുമ്പോൾ വനപാലകരും അറിയും.  അവസാനം അതിനെ പിടിച്ചു കാട്ടിലേക്കും അയക്കും .  ചാനലുകാരന്  ആ വീഡിയോ കണ്ടു. അവന്റെ പോകാറ്റും നിറയും.  അതുകൊണ്ടു  നിങ്ങളോടു ഇണങ്ങി കഴിയുന്ന ജീവികളെ കുറിച്ചു. വീഡിയോ എടുക്കാൻ ആരെങ്കിലും വന്നാൽ  അതിനു  തയ്യാറാവാതിരിക്കുക.     തയ്യാറായാൽ  നഷ്ട്ടം. നിങ്ങൾക്കും. ലാഭം യുട്യൂബ് ചാനലുകാരന്. മാത്രമായിരിക്കും",Kadavil Kadavil,15,True,None
UgzTOc8yaEHK6NEUB-x4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,11,False,None
Ugwu1uiyQFiSBSA05vl4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,0,False,None
UgyI8wqR42doyCYuAVl4AaABAg,"അങ്ങനെ 6 മാസത്തിനു ശേഷം ഒരു kennel video ️",Humble Wiz,18,True,None
Ugyq9NsqirVS7B1NZE94AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,7,False,None
Ugw3GS8yi64T3jNKQQp4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,0,False,None
Ugw94sA1EEt6Bhe46Gx4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,1,False,None
UgzFQq1QG7aTr-KSbUx4AaABAg,"ചെറക്കൻ കലിപ്പണല്ലോ",GAIMIG WHIT KERALA,110,True,None
UgxyRc-IrUlGBGdhZ0F4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,1,False,None
UgxN6ONEKtjLp8_oDtp4AaABAg,"കാത്തിരിപ്പിന് വിരാമം  അങ്ങനെ ചേട്ടന്റെ വീഡിയോ വന്നു  എത്ര നാളായി ഒരു വീഡിയോ കാണാൻ കാത്തിരിക്കുന്നത്  നല്ല അടിപൊളി വീഡിയോ വീട്ടിലെ അറേഞ്ച് മെൻസ്  അടിപൊളി ",NITHIN CHACKO,35,True,None
UgyO3nrkspoHMMJUZH14AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,10,False,None
UgyGXq4jnaHu-HPY35h4AaABAg,"130 കിലോ യുടെ മീൻ പിടിക്കാൻ പോകുന്നത് കൊതുക് വലക്കൊണ്ട്  ",abobacker ebrahim,594,True,None
UgwKV7NaOA0kL1TP4_p4AaABAg,"അഞ്ഞൂറോളം അലങ്കാര കിളികളുടെ ആറാട്ട് കണ്ടിട്ടുണ്ടോദേ ഈ ലിങ്കിൽ ഉണ്ട് ആ വീഡിയോ ",ഒരു അഡാർ Pets Story,3,False,None
UgxIU3-MDG09H7JBnn54AaABAg,"അഞ്ഞൂറോളം അലങ്കാര കിളികളുടെ ആറാട്ട് കണ്ടിട്ടുണ്ടോദേ ഈ ലിങ്കിൽ ഉണ്ട് ആ വീഡിയോ ",ഒരു അഡാർ Pets Story,1,False,None
UgzuLdJgh7kN_F2dAFx4AaABAg,"അഞ്ഞൂറോളം അലങ്കാര കിളികളുടെ ആറാട്ട് കണ്ടിട്ടുണ്ടോദേ ഈ ലിങ്കിൽ ഉണ്ട് ആ വീഡിയോ ",ഒരു അഡാർ Pets Story,2,False,None
UgxbJEoxS4Ec-7W1mVV4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,0,False,None
UgwVhum-xGNAm8-EOAF4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,1,False,None
UgyndWLTO2l_yD8bju54AaABAg,"എന്നിട്ട് ആ മീൻ ഇവരെ തിന്നില്ലേ ",MY OpiNioN Malayalam,10,True,None
UgzlgDbwyWGBVra53XR4AaABAg," ഈ വീഡിയോ നിങ്ങളുടെ മനം മയക്കും",ഒരു അഡാർ Pets Story,2,False,None
UgwDIqISBizy5I3JIYV4AaABAg,"130 കിലോ എന്നുദ്ദേശിച്ചത് നിങ്ങൾ രണ്ടു പേരെ തൂക്കാണോ",Ali Naharis Naharis,819,True,None
Ugw_iSe7a1VwFGBxMnZ4AaABAg,"അഞ്ഞൂറോളം അലങ്കാര കിളികളുടെ ആറാട്ട് കണ്ടിട്ടുണ്ടോദേ ഈ ലിങ്കിൽ ഉണ്ട് ആ വീഡിയോ ",ഒരു അഡാർ Pets Story,2,False,None
Ugy6yMmOqvgqLxfShZB4AaABAg,"ഈ വീഡിയോ കണ്ടപ്പോൾ ശരിക്കും പൂച്ചയെ വാങ്ങാൻ തോന്നിയ വർ ആരെല്ലാം ",Muhammed Nafih,927,True,None
UgwNrND4CWjL0mASQvN4AaABAg,"ഞാൻ വാങ്ങിയിരുന്നു നല്ല അടുകളാണ് പ്രസവിച്ചു",MØNJAN,31,True,None
UgzOtolC6KdZtEjewvl4AaABAg,"300 ലധികം ഗപ്പികൾ ഒരുമിച്ചു കണ്ടിട്ടുണ്ട് എന്നാൽ ഇത്ര അധികം ആടിനെ ആദ്യമായിട്ടാണ് കാണുന്നത് ഈ വീഡിയോ ഞങ്ങൾക്കു മുമ്പിൽ എത്തിച്ച ജോമോന് ഒരുപാട് നന്ദിയുണ്ട് ",FAHAD PK 🔥🐅,12,True,None
UgwVs8G5z0mOuVqUjoZ4AaABAg,"സെക്കന്റ് ചാനെൽ ലിങ്ക് ആണ്..subscribe ചെയ്യണേ ",ഒരു അഡാർ Pets Story,40,False,None
UgzatoqfpH_CFpXf2UR4AaABAg,"എല്ലാം നല്ല രസമുണ്ട് ബ്രോ.....",Rithin Roy,35,True,None
UgxSvtQGtwMf7-UjqGh4AaABAg,"subscribe ചെയ്തിട്ടു പോണേ",ഒരു അഡാർ Pets Story,72,False,None
UgzkMp3VHWvclJ32FEZ4AaABAg,"പെട്ടെന്ന് കണ്ടപ്പോൾ നമ്മുടെ ഉണ്ണി ചേട്ടൻ ആപാറമടയിൽ നിന്നും പിടിച്ച അരപൊയ്മയെഓർമ വന്നു.!!",Dark Boy Gaming,275,True,None
UgzOcHGb8iuNVz6bqeF4AaABAg,"ലിങ്ക്- സെക്കന്റ് ചാനൽ ലിങ്ക് മുകളിൽ സബ്സ്ക്രൈബ് ചെയ്യണേ",ഒരു അഡാർ Pets Story,95,False,None
UgyWeCeHFlUcLUJI3iZ4AaABAg," ഇതു എന്റെ സെക്കന്റ് ചാനൽ ലിങ്ക് ആണ്..സബ് ചെയ്യണേ",ഒരു അഡാർ Pets Story,97,False,None
Ugz3vcHB_Zwpl9MGg914AaABAg,"പ്രണയമാണ് ഗപ്പി യോട്...  അടിപൊളി മച്ചാനെ കിടു വീഡിയോ...",HELLO PET''S LOVERS MALAYALAM VLOGGER,87,True,None
UgzSgaVKbsvtF5-KKEx4AaABAg,"വീട്ടിൽ ഒരു ചെറിയ പൂന്തോട്ടം ഉള്ളത് എന്തോരം ഹാപ്പിനെസ്സ് ആണു ഇതൊക്കെ കണ്ടപ്പോൾ കൊതി ആയി",RUBIN GEORGE,55,True,None
Ugzg_OEBQ8LgNkH05m54AaABAg,"പശു ഫാം മനോഹരമായി അവതരിപ്പിച്ചിട്ടുണ്ടല്ലോ വളരെ നല്ലൊരു വീഡിയോ",KADUKUMANI ONE,8,True,None
UgzGl1gwf704MBCp-uB4AaABAg,"കണ്ടതിൽ വെച്ചു ഏറ്റവും വിലകുറവ്മാന്യമായ സ്വാഭാവം രാഹുൽ ചേട്ടൻ പോളി ആണ്",Hishana Shafi,38,True,None
UgzPJZ7t_eUaoqO9Tgp4AaABAg," നമ്മുടെ second ചാനൽ ആണ് സബ്സ്ക്രൈബ് ചെയ്യണേ",ഒരു അഡാർ Pets Story,23,False,None
Ugx2CrU7w_eCFmvsgg94AaABAg,"Phone brightness maximum ഇട്ട് ഈ വിഡിയോ കാണുക..വീഡിയോ ഇഷ്ടപ്പെട്ടാൽ സബ്സ്ക്രൈബ് ചെയ്യാൻ മറക്കല്ലേ",ഒരു അഡാർ Pets Story,47,False,None
UgwlMwXGn_OEUojinV54AaABAg,"എല്ലാ ഗപ്പിയും പൊളി ക്വാളിറ്റി ",FARM STORIES,41,True,None
UgwlxeVhEh3h9DKmGRx4AaABAg,"കിടു ആയിട്ടുണ്ട് ജോ",Sibin Sibin,2,False,None
UgxedaeGKygY7V5eCll4AaABAg,"വീഡിയോ കാണുന്നവർ Subscribe ചെയ്യാൻ മറക്കല്ലേ..ഇനിയും നല്ല വീഡിയോസ് വരാനുണ്ട്",ഒരു അഡാർ Pets Story,107,False,None
UgxSeirzVnRrNNTyDBN4AaABAg,"ഇത്രയും affordable rateil sale ചെയുന്ന petshops കേരളത്തിൽ ചുരുക്കം ആണ്.. അത് നടത്തുന്ന ചേട്ടന്മാർക് സല്യൂട്ട് ",LORDSON T S,10,True,None
Ugw3oY9EXW8bSLD3VQl4AaABAg,"ചേട്ടന്റെ വീഡിയോ വേറെ ലെവൽ ",Mhd faisal,27,True,None
UgzbJVSYniUvq7cKplZ4AaABAg,"ഈ വീഡിയോ കാണുന്ന എല്ലാവർക്കും എന്റെ ഹൃദയം നിറഞ്ഞ X-MAS ആശംസകൾ ",ANANTHA HARI MEDIA,14,True,None
Ugw1HsDPRrkJqAN9-wx4AaABAg,"Subscribe- giveaway winner ആകാൻ മുകളിൽ കാണുന്ന ലിങ്കിൽ അമർത്തി ചാനൽ സബ്സ്ക്രൈബ് ചെയ്യൂ...നിങ്ങളെ കാത്തിരിക്കുന്നത് ഒരു കിടിലൻ surprise gift..sub ചെയ്തതിനുശേഷം 7012733517 numberilekku screenshort ചെയ്ത്  അയക്കുക",ഒരു അഡാർ Pets Story,62,False,None
UgyPsxAnVuNbwBeZGdd4AaABAg,"my second channel pls subscribe subscribe ചെയ്ത് ആ ചാനലിൽ ഉള്ള വിഡിയോയിൽ നമ്പർ കമെന്റ് ചെയ്യൂ..കൂടാതെ നല്ലൊരു കമെന്റ് channelനെ കുറിച്ചു ഇടൂ...giveawayഉടനെ ഉണ്ടാകും",ഒരു അഡാർ Pets Story,22,True,None
Ugz6epkRVkkUFHftZrJ4AaABAg,"Rate പറയാത്തകൊണ്ട് ഒരു ഇതില്ല എന്ന് തോന്നിയത് എനിക്ക് മാത്രമാണോ ",SIX R vlogs,108,True,None
UgxM74rSrV_SFR_zk_R4AaABAg,"അലങ്കാര മത്സ്യങ്ങളെ വാങ്ങുവാനായി download ചെയ്യൂ fishtank:  ബ്രീഡറായി join ചെയ്തു വിൽക്കുവാൻ download ചെയ്യൂ fishtank partner:  ",ഒരു അഡാർ Pets Story,17,False,None
UgyFAw3ZSycUEWoYTiJ4AaABAg,"ഇത് കൊള്ളാമല്ലോ.. പൊളി ആശാനേ ",FAROOK SEEYAR,0,False,None
UgwN5oCOUmB21kck8bJ4AaABAg,"എല്ലാവരുടെയും കമെന്റ് കണ്ടിരുന്നു aquerium വലുതാക്കാൻ...aquerium വലുതാക്കി",ഒരു അഡാർ Pets Story,166,False,None
UgwYW_dTXxILPfln0v94AaABAg,"എന്റെ second ചാനൽ ആണ്..എല്ലാവരും സബ്സ്ക്രൈബ് ചെയ്യണേ... ",ഒരു അഡാർ Pets Story,17,False,None
UgxkQBT9vPRoThDsCk14AaABAg,"നല്ല quality ഉള്ള പോത്തുകൾ ആണ് ഇവിടുത്തെ. ഞാൻ ഒരെണ്ണം വാങ്ങി. പെട്ടെന്നു വലുതായി.. രണ്ടാമത്തേതിന് ഓർഡർ കൊടുത്തു....",EDU STAR,29,True,None
Ugx9eMXM_3Wkq7CcQ0N4AaABAg,"സൂഫിയുടെ വെള്ളരി പ്രാവുകൾ ആണോ.. എന്ത് ഭംഗിയാണ് ",MY MOGRAL,22,True,None
UgwRRsUpsVE4CxUZAO14AaABAg,"വീഡിയോ കാണുന്നതോടൊപ്പം എന്റെ ഈ കൊച്ചു ചാനൽ സബ്സ്ക്രൈബ് ചെയ്യണേ",ഒരു അഡാർ Pets Story,141,False,None
UgwK6Tc_OGwao8GPOmF4AaABAg,"സിഞ്ചു ചേട്ടൻ പൊളി.... അടിപൊളി മനുഷ്യൻ... ഒരു പൊങ്ങച്ചം ഒന്നും ഇല്ല... ഒരു ജന്റിൽമൻ.... ഡോഗ്സ് വേറെ പൊളി.....",Sreerag N.P,21,False,None
