cid	text	author	votes	heart	paid	category	Entext	flair_sent_fast	flair_sent_en	pysent_sent	pysent_emot	pysent_hate	offense
UgwAwIgXsnuxa6IHPat4AaABAg	പാട്ട് കൊള്ളാം പക്ഷേ തല മൂടാതെ ദൈവാരാധന നടത്തുന്ന ശ്രുതി വചന വിരുദ്ധം ജോയിച്ചന്റെ മോളേ ഇത് പഠിപ്പിക്കണമോ	Sam Kalloor	0	False	None	Music	The song is good, but should this be taught by Joychan, who worships God without covering his head?	('POSITIVE', 0.8279269337654114)	('NEGATIVE', 0.9679840803146362)	NEU:  	disgust:  	:	1
UgzTEbgfkPX6Gd1SpJx4AaABAg	ദൈവം അനുഗ്രഹിച്ച ശബ്ദം	Alexander K A	2	False	None	Music	God blessed voice	('POSITIVE', 0.9866706728935242)	('POSITIVE', 0.9951382875442505)	POS: 	joy: 	:	1
UgxRpy6STd6QfD8unTl4AaABAg	ദൈവത്തിനു സ്തുതി  ഈ ഗാനം ഇത്ര മനോഹരമായി പാടിയത് ഇതിനു മുമ്പ് ഞാൻ കേട്ടിട്ടില്ല  ആലാപനവും  സംഗീതവും  സൂപ്രർ  എല്ലാവർക്കും ദൈവാനുഗ്രഹം  ഉണ്ടാവട്ടെ  നന്ദി	Jose K.T	2	False	None	Music	Praise be to God this song was sung so beautifully I have never heard it before Singing and music Super God bless everyone Thank you	('POSITIVE', 0.9910127520561218)	('POSITIVE', 0.9928679466247559)	POS: 	joy: 	:	1
UgxCa2oIM_nmy1mWZ-p4AaABAg	 ആത്മീയ ഗീതങ്ങൾ ഇനിയും പാടുവാൻ ദൈവം ധാരാളം കൃപ പകരട്ടെ	Lizy Biju	0	False	None	Music	May God give us abundant grace to continue singing spiritual songs	('POSITIVE', 0.9986578226089478)	('POSITIVE', 0.9975404739379883)	POS: 	joy: 	:	1
UgwTdPG2zO2NXttkF5F4AaABAg	നല്ലപാട്ടാണ്എല്ലാവരും നന്നായി പാടുന്നുണ്ട്ദൈവം അനുഗ്രഹിക്കട്ടെ	Jancy Santhosh	1	False	None	Music	Good song everyone is singing well God bless you	('POSITIVE', 0.9794700145721436)	('POSITIVE', 0.9920032024383545)	POS: 	joy: 	:	1
Ugx-X-vtQ1KRPnILz2l4AaABAg	വരികൾ എഴുതുമ്പോൾ എന്റെ ഉള്ളിലുണ്ടായിരുന്ന വിങ്ങൽ ഭാവാർദ്രമായി പാടിയ അമലിന് ഹാർദ്ദമായ അഭിനന്ദനങ്ങൾ   ആത്മാവിനെ തൊട്ടുണർത്തുന്ന ആലാപനം ഈ ഗാനത്തെ അതീവ സുന്ദരമാക്കിയിരിക്കുന്നു കമന്റുകൾ എഴുതാൻ ശീലമില്ലാത്ത പലരും അഭിനന്ദനങ്ങൾ അറിയിക്കാൻ ഏല്പിച്ചിട്ടുണ്ട്   ഒരുപാടു വിജയങ്ങളും അംഗീകാരങ്ങളും നേടാൻ കഴിയട്ടെ എന്നു പ്രാർത്ഥിക്കുന്നു സർവ്വശക്തനായ ദൈവം അനുഗ്രഹിക്കട്ടെ 	RITA PAUL VLOGS	4	False	None	Music	Heartfelt congratulations to Amal who sang so heartily while writing the lyrics, heart touching Amal. The singing has made this song very beautiful. Many people who are not used to writing comments have submitted their congratulations. I pray that I get many successes and accolades. May Almighty God bless you.	('POSITIVE', 0.9937294721603394)	('POSITIVE', 0.9971389770507812)	POS: 	joy: 	:	1
UgzRZB9xwmIK6Y9iMt54AaABAg	സ്നേഹം മാത്രം പകർന്നവൻ സ്നേഹിക്കാതിരിക്കുമോസ്നേഹമാകും യേശുവേ അങ്ങ് മാത്രം ദൈവമേ 	ⲘɌ Ƶ₳Ⲙ	4	False	None	Music	If he who pours only love does not love, it will be love, Jesus, you alone are God	('POSITIVE', 0.9863817691802979)	('POSITIVE', 0.995705783367157)	POS: 	joy: 	:	1
Ugz9QY0UbCD4gdtgU5R4AaABAg	ഒരു വിശ്വാസിയുടെ പ്രാർത്ഥനപോലെയിരിക്കുന്നു മനോഹരം ദൈവം നിങ്ങളെ അനുഗ്രഹിക്കട്ടെ	Harilal A R	1	False	None	Music	It's like a believer's prayer. God bless you	('POSITIVE', 0.905759871006012)	('POSITIVE', 0.9971711039543152)	POS: 	sadness: 	:	1
Ugz5tMKl-4nDcpCAwVV4AaABAg	മലയാളം സെക്സ്	Raheem Nihal	0	False	None	Music	Malayalam sex	('POSITIVE', 0.6905878782272339)	('POSITIVE', 0.9982978701591492)	NEU: 	others: 	:	1
UgyvsYSW-MlD3eLiyLd4AaABAg	ദൈവം ധാരാളമായി അനുഗ്രഹിക്കട്ടെ	Jilus Vlog	1	True	None	Music	God bless you abundantly	('POSITIVE', 0.9942599534988403)	('POSITIVE', 0.9959789514541626)	POS: 	joy: 	:	1
UgwN9nmy8D07-4Xw4vZ4AaABAg	ഒന്നും പറയാനില്ല ഇത് കർഷക പ്രോമി കൾക്ക് കണിച്ചു തന്ന ഈ ചാനലിനും ഫാമിന്റെ  പ്രിയ കർഷകനും ഒരായിരം നന്ദി ദൈവം അനുഗ്രഹിക്കട്ടെ	Shamsudheen Muttichira	115	True	None	Pets_and_Animals	There is nothing to say. God bless this channel and the dear farmer of the farm who attributed this to the farmer proms.	('POSITIVE', 0.9964314699172974)	('POSITIVE', 0.9988256096839905)	POS:  	others: 	:	1
Ugy6N38y-rdM8nn-h514AaABAg	ആളുകളുടെ തെറ്റിദ്ധാരണ ആണ് കൊഴുപ്പ് കൂടുതൽ ഉള്ളത് നല്ലതല്ല എന്ന്കൊഴുപ്പ് കൂടുതൽ ഉള്ളപ്പോൾ ആണ് ഏതു മത്സ്യവും കഴിക്കണ്ടിയത്	Kuruvilla Varkey	1	True	None	Pets_and_Animals	People's misconception is that more fat is not good and any fish should be eaten when it has more fat	('NEGATIVE', 0.9962111711502075)	('NEGATIVE', 0.9312794804573059)	NEG: 	others: 	:	1
Ugza3Y5qnN0GI_Ps0gN4AaABAg	ഇതിന്റെ കുത്ത് കിട്ടിയാൽ കിട്ടിയ സ്ഥലത്ത് മൂത്രം ഒഴിച്ചാൽ കടച്ചിൽ മാറും കടു	FAHEEM ALI	214	False	None	Pets_and_Animals	If you get stung by it, if you pour urine on the affected area, the sting will become worse	('NEGATIVE', 0.9262754321098328)	('NEGATIVE', 0.9998290538787842)	NEG: 	fear: 	:	1
UgwJWBouui6xnduSL_Z4AaABAg	ഇത് ആടുകൾക്ക് കൊടുത്താൽ പാല്കൂടും കുറഞ്ഞ നിറവ്യത്യാസം കാണുമെന്നേയുള്ളു ആടുകൾ നല്ലപോലെ തിന്നും	Muhammed Ali	3	True	None	Pets_and_Animals	If this is given to goats, the milk will show less discoloration and the goats will eat well.	('POSITIVE', 0.646748423576355)	('NEGATIVE', 0.8385379910469055)	NEU: 	others: 	:	1
UgxDP-bMwrmlZ2hBCGN4AaABAg	ഇക്കാ പ്ലാസ്റ്റിക് ചാക്കിന് പകരം നാടൻ ചാക്ക് ഉപയോഗിക്കൂ ഇല്ലേൽ പണി കിട്ടും പ്ലാസ്റ്റിക് ചാക്കിൽ അവരുടെ കാഷ്ടത്തിൽ ഉള്ള ഈർപ്പം അത് പോലെ കിടക്കും നനവ് ഉള്ള പ്രതലം കുഞ്ഞുങ്ങൾക്ക് അസുഖം ഉണ്ടാക്കും 	Siraj Tp	32	True	None	Pets_and_Animals	Instead of plastic bag, use a local bag or else you will get the job. The moisture in the plastic bag will stay like that. The wet surface will make the babies sick.	('NEGATIVE', 0.9683024287223816)	('NEGATIVE', 0.9995254278182983)	NEG: 	fear: 	:	1
UgxxcDUlfcE0-e3PvfJ4AaABAg	എല്ലാ അമ്മമാർക്കും ഉമ്മമാർക്കും ദൈവം ആയുസും ആരോഗ്യവും നൽകട്ടെ മാതൃദിനാശംസകൾ	Niyas S	27	False	None	Pets_and_Animals	Happy Mother's Day to all mothers and mothers may God bless them with life and health	('POSITIVE', 0.9978989362716675)	('POSITIVE', 0.9890536665916443)	POS: 	joy: 	:	1
Ugyy7FsP_aXwBAfMnJp4AaABAg	522അൽഹംദുലില്ലാഹ് 500 ഗപ്പി കുഞ്ഞുങ്ങളിൽ 482 എണ്ണം കിട്ടിയപ്പോൾ അതിനു കാരണക്കാരനായ ദൈവത്തെ മറന്നില്ലല്ലോ 	muhammed abid kt	128	True	None	Pets_and_Animals	522 Alhamdulillah, when he got 482 out of 500 guppy babies, he did not forget God who was responsible for that.	('POSITIVE', 0.809507429599762)	('NEGATIVE', 0.9642449617385864)	NEU: 	others:  	:	1
UgzMaa1D6oE6e4UqBN54AaABAg	സമദ് ഗിഫ്റ്റ് അടിപൊളി അത് തന്ന ആളുടെ നല്ല മനസ്സിന് ഒരായിരം നന്നി അദ്ദേഹത്തിനും അദ്ദേഹത്തിന്റെ കുടുംബത്തിനും  ദൈവം എല്ലാ ആയുരാരോഗ്യ സൗഖ്യവും സമ്പത്തും കൊടുക്കട്ടെ	najmudheen najam	47	False	None	Pets_and_Animals	Samad gift cool to the good heart of the person who gave it and may God bless him and his family with all the health and wealth.	('POSITIVE', 0.9950017333030701)	('POSITIVE', 0.9814280271530151)	POS: 	joy: 	:	1
UgxX2bVzpBsuPenW34d4AaABAg	സമദ്ബായ് നെൽകൃഷി പ്രോത്സാഹിപ്പിക്കുന്നത് വളരെ നല്ലകാര്യം ഇനിയും കൂടുതൽ പ്രതീക്ഷിക്കുന്നു	Anvar Edakkulam	8	True	None	Pets_and_Animals	Samadbai promoting paddy cultivation is very good and hope for more	('POSITIVE', 0.9847565293312073)	('POSITIVE', 0.9733923673629761)	POS: 	joy:  	:	1
Ugzf1JeaWe-zaS6t1oB4AaABAg	219ദൈവം എപ്പോഴും ഒരു വാതിൽ തുറന്നിട്ടിരിക്കും 	muhammed abid kt	27	False	None	Pets_and_Animals	219 God always has a door open	('POSITIVE', 0.8125830888748169)	('POSITIVE', 0.7074218392372131)	POS: 	joy: 	:	1
UgwMU3LpDU5MBGgHDsx4AaABAg	കൂട്ടത്തിൽ ഒരുപാട് ചെറിയ മീനുകളെ കൊന്നല്ലേഒഴിവാക്കാമായിരുന്നുനാടൻ മീനുകൾ വംശനാശം സംഭവിച്ചുകൊണ്ടിരിക്കുന്ന സമയത്തു ഇതുപോലുള്ള മീൻപിടുത്തം ശുദ്ധ തെമ്മാടിത്തരം ആണ്	Gramika Green	0	False	None	Pets_and_Animals	At a time when native fish are on the verge of extinction, fishing like this is pure scum	('NEGATIVE', 0.9249618053436279)	('NEGATIVE', 0.9994950294494629)	NEG: 	disgust: 	:	1
UgziO8aYgN0Akp0iwlt4AaABAg	വളരെ നന്നായിരുന്നു വളരെ മനസ്സിലാകുന്ന രീതിയിൽ തേനീച്ചവളർത്തലിനെ പറ്റി പറഞ്ഞു തന്നതിന് വളരെയധികം നന്ദി സാറിന് തുടർന്നുള്ള തേനീച്ച ക്ലാസ്സുകളുടെ വീഡിയോ പ്രതീക്ഷിക്കുന്നു ദൈവം അനുഗ്രഹിക്കട്ടെ ഈ പ്രവർത്തനത്തെ	Twinson Raj	10	True	None	Pets_and_Animals	Thank you very much sir for telling me about beekeeping in a very good and understandable way. Looking forward to the next video of bee classes. God bless this work.	('POSITIVE', 0.7722502946853638)	('POSITIVE', 0.9803594350814819)	POS: 	joy: 	:	1
UgxoK0Sk-khE5Hl45sR4AaABAg	കാദർ ഡിയർ ദൈവം നിന്നെ അനുഗ്രഹിക്കട്ടെരജീഷ് ആലംപാടി	Rajeesh Reji	9	True	None	Pets_and_Animals	Kadar Dear God Bless You Terejeesh Alampadi	('POSITIVE', 0.9386699795722961)	('POSITIVE', 0.9943775534629822)	POS: 	joy: 	:	1
UgxaxgKjpMP_0RUWKyJ4AaABAg	പുതിയ മീൻ കുളം കുറച്ചുകാലത്തേക്ക് മാത്രമേ നിലനിൽക്കുകയുള്ളൂ കാരണം വെള്ളത്തിന്റെ വെയിറ്റ് മുഴുവൻ കവുങ്ങിന്റെ പിസിലേക്കാണ് വരുന്നത് 	Muhammed Subair	8	True	None	Pets_and_Animals	The new fish pond will only last for a short time because the weight of the water will come down to the pumpkin's piss	('NEGATIVE', 0.999325156211853)	('NEGATIVE', 0.9999526739120483)	NEU: 	others: 	:	1
UgzLFx50hCcLK3nM8mJ4AaABAg	കുട്ടിക്കാലത്ത് ഇതിനെ പിടിക്കാൻ റിസ്ക് ആണ്  ചളിയിൽ ഇത് ഇഷ്ട പോലെ കാണു  അത് പോലെ കടലിൽ ചളിയിൽ കാണുന്ന മീനാണ്  മാന്തൽ  പിന്നെ ഇതിന്റെ  മുള്ള് കുത്തിയാൽ മൂത്രം ഒഴിച്ചാൽ മതി  ഞാനും ഒഴിച്ചിട്ടുണ്ട് അത് പോലെ കട്ടുരുംബ് കടിച്ചാലും ഇത് പോലെ ചെയ്താലും മതി	Rafeeque Kuwait	2	True	None	Pets_and_Animals	It is a risk to catch it as a child. It looks like it likes it in the mud. Mantel is a fish that you see in the mud in the sea. Then if you get pricked by its thorn, you just need to pour urine.	('POSITIVE', 0.7811004519462585)	('NEGATIVE', 0.9827175736427307)	NEG: 	others: 	:	1
UgwvNYcvO1m08lOIJ4Z4AaABAg	എന്റെ വീഡ്ഡിലും ഉണ്ടായിരുന്നു ഇങ്ങതെ ഒരു പ്രാവ് അതിനെ എന്തോന്നു കടിച്ചിട്ടേ അതിന്റെ കാലിന്റെ ഒരു പിസ് കഠിസ്തിടുത്തു ഇന്നിട്ടും അത് കുറച്ചു ദിവസം കുടി ജിവിച്ചു ഇന്നീട്ട് ചത്തു 	Shafna Sherin	1	False	None	Pets_and_Animals	I also had one in my weed and a pigeon bit it, bitten off a piece of its leg and even today it lived for a few days and died today.	('NEGATIVE', 0.9797873497009277)	('NEGATIVE', 0.9999804496765137)	NEG: 	sadness: 	:	1
UgzH0F2R884d8IuROAd4AaABAg	ചിരിച്ചു ഒരു പരുവം ആയി കുഞ്ഞാപ്പി മുത്താ 	SHIBILY JOHN	34	True	None	Pets_and_Animals	Kunjappi Mutha laughed and laughed	('POSITIVE', 0.9526522755622864)	('POSITIVE', 0.9905762672424316)	POS: 	others: 	:	1
UgyiVItcXuH3ZlJuUOR4AaABAg	അയ്യോ പാവം അതിൻറെ കുഞ്ഞുങ്ങളെ ഓർത്ത് കുറെ കരഞ്ഞു കാണും പാവം ദൈവം നിങ്ങളെ രക്ഷിക്കും	all is craft	86	True	None	Pets_and_Animals	Alas, the poor thing will cry a lot for its children, poor God will save you	('NEGATIVE', 0.996604323387146)	('NEGATIVE', 0.995210587978363)	NEG: 	sadness: 	:	1
UgwbXhCFPuWFQ5L2qu54AaABAg	സന്തോഷമായി ആ കുഞ്ഞുങ്ങൾ സുഖമായി അവിടെ കഴിയട്ടെ ദൈവം നിങ്ങളെയും നിങ്ങളുടെ തലമുറകളെയും ധാരാളമായി അനുഗ്രഹിക്കട്ടെയെന് ആത്മാർത്ഥമായി ദൈവത്തോട് പ്രാർത്ഥിക്കുന്നു	Roy Mathew	68	True	None	Pets_and_Animals	I sincerely pray to God that those children will be happy there and that God will bless you and your generations abundantly.	('POSITIVE', 0.9978023171424866)	('POSITIVE', 0.991166889667511)	POS: 	joy: 	:	1
Ugxkbybk75MKOtHEPNR4AaABAg	കൊക്കാച്ചി ടീമിൽ ഉള്ള എല്ലാവരെയും ദൈവം അനുഗ്രഹിക്കട്ടെ 	Soniya Saji	124	True	None	Pets_and_Animals	God bless everyone on the Kokachi team	('POSITIVE', 0.9787688851356506)	('POSITIVE', 0.9979146122932434)	POS: 	joy: 	:	1
UgywaXKC_ZjQpgBK4VZ4AaABAg	പാവം പൂച്ചക്കുട്ടി വിശന്നു തളർന്നു ഭക്ഷണവും സ്നേഹവും കിട്ടിക്കഴിഞ്ഞപ്പോ ആ കുഞ്ഞിന് സന്തോഷമായി സഹോദരങ്ങളെ ഇങ്ങനെയുള്ള പുണ്യപ്രവർത്തികൾക്കു ദൈവം നിങ്ങളെയും നിങ്ങളുടെ കുടുംബത്തെയും അനുഗ്രഹിക്കും 	Sivadass V	207	True	None	Pets_and_Animals	God bless you and your family for such pious deeds brothers and sisters when the poor kitten is hungry and tired and gets food and love.	('POSITIVE', 0.99610435962677)	('POSITIVE', 0.9963338375091553)	POS: 	joy: 	:	1
UgyGpLmAzXK7UDOYM6x4AaABAg	ഇക്കാ പറയുന്നത് 100 ശതമാനം ശെരിയാണ് പാവം മക്കൾ അതിന്റെ അമ്മയെ കൊന്നവർക്ക് തക്കതായ ശിക്ഷ കിട്ടും	Poochayisam Kerala	95	False	None	Pets_and_Animals	Ika is 100 percent right, the poor children will get the punishment they deserve for killing their mother	('NEGATIVE', 0.9809951186180115)	('POSITIVE', 0.5108466148376465)	NEG: 	sadness: 	:	1
Ugyrj_HKLi-XlT5jDN14AaABAg	മിണ്ടാപ്രാണികൾക്ക് അദയം നൽകിയ കോക്കാച്ചിക്ക് ദൈവത്തിന്റെ അനു ഗ്രഹം എപ്പോഴും ഉണ്ടാ വെട്ടെ	Shareef P	120	True	None	Pets_and_Animals	May God bless Kokachi who gave birth to mute animals	('POSITIVE', 0.8462007641792297)	('POSITIVE', 0.9970594048500061)	POS: 	joy: 	:	1
